"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"1812","Joffrey Lupul","RW","Toronto Maple Leafs",46,11,3,14,5250000,2.1,0.57,2.67,"B","2015/2016"
"1813","David Clarkson","RW","Vegas Golden Knights",23,2,2,4,5250000,0.38,0.38,0.76,"B","2015/2016"
"1814","Derick Brassard","C","Pittsburgh Penguins",80,27,31,58,5e+06,5.4,6.2,11.6,"A","2015/2016"
"1815","James Neal","LW","Vegas Golden Knights",82,31,27,58,5e+06,6.2,5.4,11.6,"A","2015/2016"
"1816","Tomas Plekanec","C","Toronto Maple Leafs",82,14,40,54,5e+06,2.8,8,10.8,"A","2015/2016"
"1817","Ryan Kesler","C","Anaheim Ducks",79,21,32,53,5e+06,4.2,6.4,10.6,"A","2015/2016"
"1818","Michael Cammalleri","C","Edmonton Oilers",42,14,24,38,5e+06,2.8,4.8,7.6,"B","2015/2016"
"1819","Valtteri Filppula","C","Philadelphia Flyers",76,8,23,31,5e+06,1.6,4.6,6.2,"B","2015/2016"
"1820","Radim Vrbata","RW","Florida Panthers",63,13,14,27,5e+06,2.6,2.8,5.4,"B","2015/2016"
"1821","Mikhail Grabovski","C","Vegas Golden Knights",58,9,16,25,5e+06,1.8,3.2,5,"B","2015/2016"
"1822","Matt Moulson","LW","Buffalo Sabres",81,8,13,21,5e+06,1.6,2.6,4.2,"B","2015/2016"
"1823","Marian Gaborik","RW","Ottawa Senators",54,12,10,22,4875000,2.46,2.05,4.51,"B","2015/2016"
"1824","Ryane Clowe","LW","Free Agent",0,0,0,0,4850000,0,0,0,"B","2015/2016"
"1825","Carl Soderberg","C","Colorado Avalanche",82,12,39,51,4750000,2.53,8.21,10.74,"A","2015/2016"
"1826","Scott Hartnell","LW","Nashville Predators",79,23,26,49,4750000,4.84,5.47,10.32,"A","2015/2016"
"1827","Gustav Nyquist","RW","Detroit Red Wings",82,17,26,43,4750000,3.58,5.47,9.05,"B","2015/2016"
"1828","Bryan Little","C","Winnipeg Jets",57,17,25,42,4700000,3.62,5.32,8.94,"B","2015/2016"
"1829","Clarke MacArthur","LW","Ottawa Senators",4,0,0,0,4650000,0,0,0,"B","2015/2016"
"1830","R.J. Umberger","LW","Philadelphia Flyers",39,2,9,11,4600000,0.43,1.96,2.39,"B","2015/2016"
"1831","Tyler Ennis","LW","Minnesota Wild",23,3,8,11,4600000,0.65,1.74,2.39,"B","2015/2016"
"1832","Max Pacioretty","LW","Montreal Canadiens",82,30,34,64,4500000,6.67,7.56,14.22,"A","2015/2016"
"1833","Brad Marchand","LW","Boston Bruins",77,37,24,61,4500000,8.22,5.33,13.56,"A","2015/2016"
"1834","Mats Zuccarello","RW","New York Rangers",81,26,35,61,4500000,5.78,7.78,13.56,"A","2015/2016"
"1835","David Backes","C","Boston Bruins",79,21,24,45,4500000,4.67,5.33,10,"C","2015/2016"
"1836","Alexandre Burrows","LW","Ottawa Senators",79,9,13,22,4500000,2,2.89,4.89,"B","2015/2016"
"1837","Teddy Purcell","RW","Free Agent",15,3,8,11,4500000,0.67,1.78,2.44,"B","2015/2016"
"1838","Brooks Laich","C","Los Angeles Kings",60,1,6,7,4500000,0.22,1.33,1.56,"B","2015/2016"
"1839","Mike Fisher","C","Nashville Predators",70,13,10,23,4400000,2.95,2.27,5.23,"B","2015/2016"
"1840","Drew Stafford","RW","New Jersey Devils",78,21,17,38,4350000,4.83,3.91,8.74,"B","2015/2016"
"1841","Michael Frolik","LW","Calgary Flames",64,15,17,32,4300000,3.49,3.95,7.44,"B","2015/2016"
"1842","Loui Eriksson","LW","Vancouver Canucks",82,30,33,63,4250000,7.06,7.76,14.82,"A","2015/2016"
"1843","Jakub Voracek","RW","Philadelphia Flyers",74,11,44,55,4250000,2.59,10.35,12.94,"C","2015/2016"
"1844","Patric Hornqvist","RW","Pittsburgh Penguins",82,22,29,51,4250000,5.18,6.82,12,"C","2015/2016"
"1845","Craig Smith","RW","Nashville Predators",82,21,16,37,4250000,4.94,3.76,8.71,"B","2015/2016"
"1846","Brian Gionta","RW","Boston Bruins",80,12,21,33,4250000,2.82,4.94,7.76,"B","2015/2016"
"1847","James van Riemsdyk","LW","Toronto Maple Leafs",40,14,15,29,4250000,3.29,3.53,6.82,"B","2015/2016"
"1848","Tyler Bozak","C","Toronto Maple Leafs",57,12,23,35,4200000,2.86,5.48,8.33,"B","2015/2016"
"1849","Nikolay Kulemin","LW","New York Islanders",81,9,13,22,4187500,2.15,3.1,5.25,"B","2015/2016"
"1850","T.J. Oshie","RW","Washington Capitals",80,26,25,51,4175000,6.23,5.99,12.22,"C","2015/2016"
"1851","Eric Staal","C","Minnesota Wild",63,10,23,33,4125000,2.42,5.58,8,"B","2015/2016"
"1852","Nazem Kadri","C","Toronto Maple Leafs",76,17,28,45,4099999,4.15,6.83,10.98,"C","2015/2016"
"1853","Nick Bjugstad","RW","Florida Panthers",67,15,19,34,4099999,3.66,4.63,8.29,"B","2015/2016"
"1854","Carl Hagelin","LW","Pittsburgh Penguins",43,4,8,12,4000250,1,2,3,"B","2015/2016"
"1855","Jussi Jokinen","RW","Vancouver Canucks",81,18,42,60,4e+06,4.5,10.5,15,"C","2015/2016"
"1856","Adam Henrique","C","Anaheim Ducks",80,30,20,50,4e+06,7.5,5,12.5,"C","2015/2016"
"1857","Ales Hemsky","RW","Montreal Canadiens",75,13,26,39,4e+06,3.25,6.5,9.75,"C","2015/2016"
"1858","Benoit Pouliot","LW","Buffalo Sabres",55,14,22,36,4e+06,3.5,5.5,9,"B","2015/2016"
"1859","Jiri Hudler","LW","Free Agent",53,10,25,35,4e+06,2.5,6.25,8.75,"B","2015/2016"
"1860","Brad Richards","C","Free Agent",68,10,18,28,4e+06,2.5,4.5,7,"B","2015/2016"
"1861","Ryan Johansen","C","Nashville Predators",38,6,20,26,4e+06,1.5,5,6.5,"B","2015/2016"
"1862","David Jones","RW","Free Agent",59,9,6,15,4e+06,2.25,1.5,3.75,"B","2015/2016"
"1863","Milan Michalek","LW","Toronto Maple Leafs",32,6,4,10,4e+06,1.5,1,2.5,"B","2015/2016"
"1864","Bryan Bickell","LW","Carolina Hurricanes",25,0,2,2,4e+06,0,0.5,0.5,"B","2015/2016"
"1865","Wayne Simmonds","RW","Philadelphia Flyers",81,32,28,60,3975000,8.05,7.04,15.09,"C","2015/2016"
"1866","Johan Franzen","LW","Detroit Red Wings",2,0,1,1,3954550,0,0.25,0.25,"B","2015/2016"
"1867","Colin Wilson","LW","Colorado Avalanche",65,6,18,24,3937500,1.52,4.57,6.1,"B","2015/2016"
"1868","Chris Kunitz","LW","Tampa Bay Lightning",81,17,23,40,3850000,4.42,5.97,10.39,"C","2015/2016"
"1869","David Perron","LW","Vegas Golden Knights",28,8,12,20,3812500,2.1,3.15,5.25,"B","2015/2016"
"1870","Matt Beleskey","LW","New York Rangers",80,15,22,37,3800000,3.95,5.79,9.74,"C","2015/2016"
"1871","Tuomo Ruutu","LW","Free Agent",33,0,1,1,3800000,0,0.26,0.26,"B","2015/2016"
"1872","Jack Eichel","C","Buffalo Sabres",81,24,32,56,3775000,6.36,8.48,14.83,"C","2015/2016"
"1873","Nathan Mackinnon","C","Colorado Avalanche",72,21,31,52,3775000,5.56,8.21,13.77,"C","2015/2016"
"1874","Connor McDavid","C","Edmonton Oilers",45,16,32,48,3775000,4.24,8.48,12.72,"C","2015/2016"
"1875","Sergei Plotnikov","LW","Free Agent",33,0,2,2,3775000,0,0.53,0.53,"B","2015/2016"
"1876","Marcus Johansson","LW","New Jersey Devils",74,17,29,46,3750000,4.53,7.73,12.27,"C","2015/2016"
"1877","Brendan Gallagher","RW","Montreal Canadiens",53,19,21,40,3750000,5.07,5.6,10.67,"C","2015/2016"
"1878","Jakob Silfverberg","LW","Anaheim Ducks",82,20,19,39,3750000,5.33,5.07,10.4,"C","2015/2016"
"1879","Antoine Vermette","C","Anaheim Ducks",76,17,21,38,3750000,4.53,5.6,10.13,"C","2015/2016"
"1880","Anders Lee","LW","New York Islanders",80,15,21,36,3750000,4,5.6,9.6,"B","2015/2016"
"1881","Kevin Hayes","C","New York Rangers",79,14,22,36,3750000,3.73,5.87,9.6,"B","2015/2016"
"1882","Mikkel Boedker","LW","Ottawa Senators",18,4,8,12,3750000,1.07,2.13,3.2,"B","2015/2016"
"1883","Pascal Dupuis","RW","Pittsburgh Penguins",18,2,2,4,3750000,0.53,0.53,1.07,"B","2015/2016"
"1884","Patrik Berglund","LW","St Louis Blues",42,10,5,15,3700000,2.7,1.35,4.05,"B","2015/2016"
"1885","Troy Brouwer","RW","Calgary Flames",82,18,21,39,3666670,4.91,5.73,10.64,"C","2015/2016"
"1886","Matt Read","RW","Philadelphia Flyers",80,11,15,26,3625000,3.03,4.14,7.17,"B","2015/2016"
"1887","Aleksander Barkov","C","Florida Panthers",66,28,31,59,3575000,7.83,8.67,16.5,"C","2015/2016"
"1888","Mikael Backlund","C","Calgary Flames",82,21,26,47,3575000,5.87,7.27,13.15,"C","2015/2016"
"1889","Sam Reinhart","RW","Buffalo Sabres",79,23,19,42,3544170,6.49,5.36,11.85,"C","2015/2016"
"1890","Artemi Panarin","LW","Columbus Blue Jackets",80,30,47,77,3500000,8.57,13.43,22,"C","2015/2016"
"1891","Mark Stone","RW","Ottawa Senators",75,23,38,61,3500000,6.57,10.86,17.43,"C","2015/2016"
"1892","Cam Atkinson","RW","Columbus Blue Jackets",81,27,26,53,3500000,7.71,7.43,15.14,"C","2015/2016"
"1893","Mike Ribeiro","C","Nashville Predators",81,7,43,50,3500000,2,12.29,14.29,"C","2015/2016"
"1894","Kyle Turris","C","Nashville Predators",57,13,17,30,3500000,3.71,4.86,8.57,"B","2015/2016"
"1895","David Desharnais","C","New York Rangers",65,11,18,29,3500000,3.14,5.14,8.29,"B","2015/2016"
"1896","Lars Eller","C","Washington Capitals",79,13,13,26,3500000,3.71,3.71,7.43,"B","2015/2016"
"1897","Alex Tanguay","LW","Free Agent",52,4,18,22,3500000,1.14,5.14,6.29,"B","2015/2016"
"1898","Reilly Smith","RW","Vegas Golden Knights",82,25,25,50,3425000,7.3,7.3,14.6,"C","2015/2016"
"1899","Leon Draisaitl","C","Edmonton Oilers",72,19,32,51,3400000,5.59,9.41,15,"C","2015/2016"
"1900","Ondrej Palat","LW","Tampa Bay Lightning",62,16,24,40,3333330,4.8,7.2,12,"C","2015/2016"
"1901","Tyler Johnson","RW","Tampa Bay Lightning",69,14,24,38,3333330,4.2,7.2,11.4,"C","2015/2016"
"1902","Rene Bourque","LW","Free Agent",49,3,5,8,3333330,0.9,1.5,2.4,"B","2015/2016"
"1903","Josh Bailey","RW","New York Islanders",81,12,20,32,3300000,3.64,6.06,9.7,"B","2015/2016"
"1904","Brandon Sutter","C","Vancouver Canucks",20,5,4,9,3300000,1.52,1.21,2.73,"B","2015/2016"
"1905","Artem Anisimov","C","Chicago Blackhawks",77,20,22,42,3283330,6.09,6.7,12.79,"C","2015/2016"
"1906","Joel Ward","RW","San Jose Sharks",79,21,22,43,3275000,6.41,6.72,13.13,"C","2015/2016"
"1907","Jonathan Huberdeau","LW","Florida Panthers",76,20,39,59,3250000,6.15,12,18.15,"C","2015/2016"
"1908","Tyler Toffoli","RW","Los Angeles Kings",82,31,27,58,3250000,9.54,8.31,17.85,"C","2015/2016"
"1909","Milan Lucic","LW","Edmonton Oilers",81,20,35,55,3250000,6.15,10.77,16.92,"C","2015/2016"
"1910","Justin Williams","RW","Carolina Hurricanes",82,22,30,52,3250000,6.77,9.23,16,"C","2015/2016"
"1911","Paul Gaustad","C","Free Agent",64,2,4,6,3250000,0.62,1.23,1.85,"B","2015/2016"
"1912","Sam Bennett","C","Calgary Flames",77,18,18,36,3225000,5.58,5.58,11.16,"C","2015/2016"
"1913","Charlie Coyle","C","Minnesota Wild",82,21,21,42,3200000,6.56,6.56,13.13,"C","2015/2016"
"1914","Sam Gagner","RW","Vancouver Canucks",53,8,8,16,3200000,2.5,2.5,5,"B","2015/2016"
"1915","Jonathan Drouin","C","Montreal Canadiens",21,4,6,10,3194170,1.25,1.88,3.13,"B","2015/2016"
"1916","Mason Raymond","LW","Free Agent",30,4,1,5,3150000,1.27,0.32,1.59,"B","2015/2016"
"1917","Matt Stajan","C","Calgary Flames",80,6,11,17,3125000,1.92,3.52,5.44,"B","2015/2016"
"1918","Martin Hanzal","C","Dallas Stars",65,13,28,41,3100000,4.19,9.03,13.23,"C","2015/2016"
"1919","Evgeny Kuznetsov","C","Washington Capitals",82,20,57,77,3e+06,6.67,19,25.67,"C","2015/2016"
"1920","Mikael Granlund","RW","Minnesota Wild",82,13,31,44,3e+06,4.33,10.33,14.67,"C","2015/2016"
"1921","Mathieu Perreault","LW","Winnipeg Jets",71,9,32,41,3e+06,3,10.67,13.67,"C","2015/2016"
"1922","Andrew Cogliano","LW","Anaheim Ducks",82,9,23,32,3e+06,3,7.67,10.67,"C","2015/2016"
"1923","Michael Grabner","RW","New Jersey Devils",80,9,9,18,3e+06,3,3,6,"B","2015/2016"
"1924","David Legwand","C","Free Agent",79,5,9,14,3e+06,1.67,3,4.67,"B","2015/2016"
"1925","Boyd Gordon","C","Philadelphia Flyers",65,2,2,4,3e+06,0.67,0.67,1.33,"B","2015/2016"
"1926","Chris Kelly","C","Anaheim Ducks",11,2,0,2,3e+06,0.67,0,0.67,"B","2015/2016"
"1927","Leo Komarov","C","Toronto Maple Leafs",67,19,17,36,2950000,6.44,5.76,12.2,"C","2015/2016"
"1928","Jamie McGinn","LW","Florida Panthers",21,8,4,12,2950000,2.71,1.36,4.07,"B","2015/2016"
"1929","Andrew Ladd","LW","New York Islanders",19,8,4,12,2816000,2.84,1.42,4.26,"B","2015/2016"
"1930","Kyle Okposo","RW","Buffalo Sabres",79,22,42,64,2800000,7.86,15,22.86,"C","2015/2016"
"1931","Alex Galchenyuk","C","Arizona Coyotes",82,30,26,56,2800000,10.71,9.29,20,"C","2015/2016"
"1932","Frans Nielsen","C","Detroit Red Wings",81,20,32,52,2750000,7.27,11.64,18.91,"C","2015/2016"
"1933","Tomas Tatar","LW","Vegas Golden Knights",81,21,24,45,2750000,7.64,8.73,16.36,"C","2015/2016"
"1934","Jori Lehtera","C","Philadelphia Flyers",79,9,25,34,2750000,3.27,9.09,12.36,"C","2015/2016"
"1935","Cal Clutterbuck","RW","New York Islanders",77,15,8,23,2750000,5.45,2.91,8.36,"B","2015/2016"
"1936","Nino Niederreiter","RW","Minnesota Wild",82,20,23,43,2666670,7.5,8.62,16.12,"C","2015/2016"
"1937","Derek Dorsett","RW","Vancouver Canucks",71,5,11,16,2650000,1.89,4.15,6.04,"B","2015/2016"
"1938","Colin Greening","LW","Toronto Maple Leafs",1,0,0,0,2650000,0,0,0,"D","2015/2016"
"1939","Mika Zibanejad","C","New York Rangers",81,21,30,51,2625000,8,11.43,19.43,"C","2015/2016"
"1940","Shawn Matthias","C","Winnipeg Jets",51,6,11,17,2600000,2.31,4.23,6.54,"B","2015/2016"
"1941","Steve Ott","C","Montreal Canadiens",21,0,2,2,2600000,0,0.77,0.77,"D","2015/2016"
"1942","Alex Killorn","C","Tampa Bay Lightning",81,14,26,40,2550000,5.49,10.2,15.69,"C","2015/2016"
"1943","Brayden Schenn","C","St Louis Blues",80,26,33,59,2500000,10.4,13.2,23.6,"C","2015/2016"
"1944","Brock Nelson","C","New York Islanders",81,26,14,40,2500000,10.4,5.6,16,"C","2015/2016"
"1945","Jannik Hansen","RW","San Jose Sharks",67,22,16,38,2500000,8.8,6.4,15.2,"C","2015/2016"
"1946","Nail Yakupov","RW","Colorado Avalanche",60,8,15,23,2500000,3.2,6,9.2,"B","2015/2016"
"1947","Lauri Korpikoski","LW","Free Agent",71,10,12,22,2500000,4,4.8,8.8,"B","2015/2016"
"1948","Brandon Prust","RW","Free Agent",35,1,6,7,2500000,0.4,2.4,2.8,"D","2015/2016"
"1949","Eric Nystrom","LW","Free Agent",46,7,0,7,2500000,2.8,0,2.8,"D","2015/2016"
"1950","Chris Higgins","LW","Calgary Flames",33,3,1,4,2500000,1.2,0.4,1.6,"D","2015/2016"
"1951","Chris Kreider","LW","New York Rangers",79,21,22,43,2475000,8.48,8.89,17.37,"C","2015/2016"
"1952","Tommy Wingels","C","Boston Bruins",68,7,11,18,2475000,2.83,4.44,7.27,"B","2015/2016"
"1953","Blake Comeau","RW","Colorado Avalanche",81,12,24,36,2400000,5,10,15,"C","2015/2016"
"1954","Jaden Schwartz","LW","St Louis Blues",33,8,14,22,2350000,3.4,5.96,9.36,"B","2015/2016"
"1955","Jimmy Hayes","RW","New Jersey Devils",75,13,16,29,2300000,5.65,6.96,12.61,"C","2015/2016"
"1956","Daniel Winnik","RW","Minnesota Wild",20,2,3,5,2250000,0.89,1.33,2.22,"D","2015/2016"
"1957","Vincent Lecavalier","C","Free Agent",7,0,1,1,2250000,0,0.44,0.44,"D","2015/2016"
"1958","Kris Versteeg","RW","Calgary Flames",63,11,22,33,2200000,5,10,15,"C","2015/2016"
"1959","Matt Calvert","LW","Columbus Blue Jackets",73,11,13,24,2200000,5,5.91,10.91,"B","2015/2016"
"1960","Lance Bouma","LW","Chicago Blackhawks",44,2,5,7,2200000,0.91,2.27,3.18,"D","2015/2016"
"1961","Nick Spaling","C","Free Agent",23,2,4,6,2200000,0.91,1.82,2.73,"D","2015/2016"
"1962","Valeri Nichushkin","RW","Dallas Stars",79,9,20,29,2125000,4.24,9.41,13.65,"C","2015/2016"
"1963","Darren Helm","LW","Detroit Red Wings",77,13,13,26,2125000,6.12,6.12,12.24,"C","2015/2016"
"1964","Brad Richardson","C","Arizona Coyotes",82,11,20,31,2083330,5.28,9.6,14.88,"C","2015/2016"
"1965","Mike Hoffman","LW","Florida Panthers",78,29,30,59,2e+06,14.5,15,29.5,"C","2015/2016"
"1966","Jason Chimera","LW","Anaheim Ducks",82,20,20,40,2e+06,10,10,20,"C","2015/2016"
"1967","Andrew Shaw","C","Montreal Canadiens",78,14,20,34,2e+06,7,10,17,"C","2015/2016"
"1968","Antoine Roussel","LW","Dallas Stars",80,13,16,29,2e+06,6.5,8,14.5,"C","2015/2016"
"1969","Brian Boyle","C","New Jersey Devils",76,13,7,20,2e+06,6.5,3.5,10,"D","2015/2016"
"1970","Eric Fehr","C","San Jose Sharks",55,8,6,14,2e+06,4,3,7,"D","2015/2016"
"1971","Raffi Torres","LW","Free Agent",0,0,0,0,2e+06,0,0,0,"D","2015/2016"
"1972","Dwight King","LW","Free Agent",47,7,6,13,1950000,3.59,3.08,6.67,"D","2015/2016"
"1973","Cody Eakin","C","Vegas Golden Knights",82,16,19,35,1900000,8.42,10,18.42,"C","2015/2016"
"1974","Nick Bonino","C","Nashville Predators",63,9,20,29,1900000,4.74,10.53,15.26,"C","2015/2016"
"1975","Chris Neil","RW","Ottawa Senators",80,5,8,13,1900000,2.63,4.21,6.84,"D","2015/2016"
"1976","Zack Smith","C","Ottawa Senators",81,25,11,36,1887500,13.25,5.83,19.07,"C","2015/2016"
"1977","Marcus Foligno","LW","Minnesota Wild",75,10,13,23,1875000,5.33,6.93,12.27,"D","2015/2016"
"1978","Johnny Gaudreau","LW","Calgary Flames",79,30,48,78,1850000,16.22,25.95,42.16,"C","2015/2016"
"1979","Matt Hendricks","C","Winnipeg Jets",68,5,7,12,1850000,2.7,3.78,6.49,"D","2015/2016"
"1980","Travis Moen","LW","Free Agent",23,0,2,2,1850000,0,1.08,1.08,"D","2015/2016"
"1981","Justin Abdelkader","LW","Detroit Red Wings",82,19,23,42,1800000,10.56,12.78,23.33,"C","2015/2016"
"1982","Mark Letestu","C","Columbus Blue Jackets",82,10,15,25,1800000,5.56,8.33,13.89,"D","2015/2016"
"1983","John Mitchell","C","Colorado Avalanche",71,10,11,21,1800000,5.56,6.11,11.67,"D","2015/2016"
"1984","Sean Monahan","C","Calgary Flames",81,27,36,63,1775000,15.21,20.28,35.49,"C","2015/2016"
"1985","Elias Lindholm","C","Carolina Hurricanes",82,11,28,39,1775000,6.2,15.77,21.97,"C","2015/2016"
"1986","Sean Couturier","C","Philadelphia Flyers",63,11,28,39,1750000,6.29,16,22.29,"C","2015/2016"
"1987","Jay Beagle","C","Washington Capitals",57,8,9,17,1750000,4.57,5.14,9.71,"D","2015/2016"
"1988","Shawn Horcoff","C","Free Agent",59,6,9,15,1750000,3.43,5.14,8.57,"D","2015/2016"
"1989","Zack Kassian","RW","Edmonton Oilers",37,3,5,8,1750000,1.71,2.86,4.57,"D","2015/2016"
"1990","Nathan Gerbe","LW","Columbus Blue Jackets",48,3,4,7,1750000,1.71,2.29,4,"D","2015/2016"
"1991","Steve Downie","RW","Free Agent",27,3,3,6,1750000,1.71,1.71,3.43,"D","2015/2016"
"1992","Bo Horvat","C","Vancouver Canucks",82,16,24,40,1744170,9.17,13.76,22.93,"C","2015/2016"
"1993","Jake Virtanen","RW","Vancouver Canucks",55,7,6,13,1744170,4.01,3.44,7.45,"D","2015/2016"
"1994","Ryan Strome","C","Edmonton Oilers",71,8,20,28,1713330,4.67,11.67,16.34,"C","2015/2016"
"1995","Chris Stewart","RW","Calgary Flames",56,8,12,20,1700000,4.71,7.06,11.76,"D","2015/2016"
"1996","Jared Boll","RW","Anaheim Ducks",30,1,2,3,1700000,0.59,1.18,1.76,"D","2015/2016"
"1997","Mikko Rantanen","RW","Colorado Avalanche",9,0,0,0,1658330,0,0,0,"D","2015/2016"
"1998","Nick Ritchie","LW","Anaheim Ducks",33,2,2,4,1627500,1.23,1.23,2.46,"D","2015/2016"
"1999","Melker Karlsson","RW","San Jose Sharks",65,10,9,19,1625000,6.15,5.54,11.69,"D","2015/2016"
"2000","Kyle Clifford","LW","Los Angeles Kings",56,3,6,9,1600000,1.88,3.75,5.63,"D","2015/2016"
"2001","Nate Thompson","C","Los Angeles Kings",49,3,3,6,1600000,1.88,1.88,3.75,"D","2015/2016"
"2002","Nikolaj Ehlers","LW","Winnipeg Jets",72,15,23,38,1594170,9.41,14.43,23.84,"C","2015/2016"
"2003","Mark Scheifele","C","Winnipeg Jets",71,29,32,61,1563330,18.55,20.47,39.02,"C","2015/2016"
"2004","Alex Burmistrov","C","Vancouver Canucks",81,7,14,21,1550000,4.52,9.03,13.55,"D","2015/2016"
"2005","Trevor Lewis","RW","Los Angeles Kings",75,8,8,16,1525000,5.25,5.25,10.49,"D","2015/2016"
"2006","Anton Slepyshev","LW","Edmonton Oilers",11,0,1,1,1525000,0,0.66,0.66,"D","2015/2016"
"2007","P.A. Parenteau","RW","Detroit Red Wings",77,20,21,41,1500000,13.33,14,27.33,"C","2015/2016"
"2008","Dominic Moore","C","Toronto Maple Leafs",80,6,9,15,1500000,4,6,10,"D","2015/2016"
"2009","Patrick Maroon","RW","New Jersey Devils",56,4,9,13,1500000,2.67,6,8.67,"D","2015/2016"
"2010","Gregory Campbell","C","Columbus Blue Jackets",82,3,8,11,1500000,2,5.33,7.33,"D","2015/2016"
"2011","Marcus Kruger","C","Arizona Coyotes",41,0,4,4,1500000,0,2.67,2.67,"D","2015/2016"
"2012","Cody McCormick","C","Buffalo Sabres",0,0,0,0,1500000,0,0,0,"D","2015/2016"
"2013","Ben Smith","RW","Toronto Maple Leafs",6,0,0,0,1500000,0,0,0,"D","2015/2016"
"2014","Kyle Palmieri","RW","New Jersey Devils",82,30,27,57,1466670,20.45,18.41,38.86,"C","2015/2016"
"2015","Filip Forsberg","LW","Nashville Predators",82,33,31,64,1460830,22.59,21.22,43.81,"C","2015/2016"
"2016","Tanner Glass","LW","Calgary Flames",57,4,3,7,1450000,2.76,2.07,4.83,"D","2015/2016"
"2017","Dylan Larkin","C","Detroit Red Wings",80,23,22,45,1425000,16.14,15.44,31.58,"C","2015/2016"
"2018","Alexander Wennberg","C","Columbus Blue Jackets",69,8,32,40,1400000,5.71,22.86,28.57,"C","2015/2016"
"2019","Tanner Pearson","LW","Los Angeles Kings",79,15,21,36,1400000,10.71,15,25.71,"C","2015/2016"
"2020","Kevin Fiala","LW","Nashville Predators",5,1,0,1,1394170,0.72,0,0.72,"D","2015/2016"
"2021","Zemgus Girgensons","C","Buffalo Sabres",71,7,11,18,1369170,5.11,8.03,13.15,"D","2015/2016"
"2022","Max Domi","C","Montreal Canadiens",81,18,34,52,1363330,13.2,24.94,38.14,"C","2015/2016"
"2023","Tomas Hertl","C","San Jose Sharks",81,21,25,46,1350000,15.56,18.52,34.07,"C","2015/2016"
"2024","Jiri Sekac","LW","Arizona Coyotes",22,1,2,3,1350000,0.74,1.48,2.22,"D","2015/2016"
"2025","Drew Miller","LW","Free Agent",28,1,1,2,1350000,0.74,0.74,1.48,"D","2015/2016"
"2026","Teuvo Teravainen","RW","Carolina Hurricanes",79,13,22,35,1344170,9.67,16.37,26.04,"C","2015/2016"
"2027","Radek Faksa","C","Dallas Stars",45,5,7,12,1338330,3.74,5.23,8.97,"D","2015/2016"
"2028","Cody McLeod","LW","New York Rangers",82,8,5,13,1333330,6,3.75,9.75,"D","2015/2016"
"2029","Derek MacKenzie","C","Florida Panthers",64,6,7,13,1300000,4.62,5.38,10,"D","2015/2016"
"2030","Tom Wilson","RW","Washington Capitals",82,7,16,23,1294170,5.41,12.36,17.77,"D","2015/2016"
"2031","Joe Colborne","C","Colorado Avalanche",73,19,25,44,1275000,14.9,19.61,34.51,"C","2015/2016"
"2032","Curtis Lazar","RW","Calgary Flames",76,6,14,20,1254170,4.78,11.16,15.95,"D","2015/2016"
"2033","Vernon Fiddler","C","Nashville Predators",82,12,10,22,1250000,9.6,8,17.6,"D","2015/2016"
"2034","Erik Condra","RW","Tampa Bay Lightning",54,6,5,11,1250000,4.8,4,8.8,"D","2015/2016"
"2035","Brandon Bollig","LW","Nashville Predators",54,2,2,4,1250000,1.6,1.6,3.2,"D","2015/2016"
"2036","Joel Armia","RW","Winnipeg Jets",43,4,6,10,1244170,3.21,4.82,8.04,"D","2015/2016"
"2037","Kerby Rychel","LW","Montreal Canadiens",32,2,7,9,1213330,1.65,5.77,7.42,"D","2015/2016"
"2038","Torrey Mitchell","RW","Los Angeles Kings",71,11,8,19,1200000,9.17,6.67,15.83,"D","2015/2016"
"2039","Alex Chiasson","RW","Washington Capitals",77,8,6,14,1200000,6.67,5,11.67,"D","2015/2016"
"2040","Chris Thorburn","RW","St Louis Blues",82,6,6,12,1200000,5,5,10,"D","2015/2016"
"2041","Jay McClement","C","Free Agent",78,3,8,11,1200000,2.5,6.67,9.17,"D","2015/2016"
"2042","Shawn Thornton","RW","Florida Panthers",50,1,4,5,1200000,0.83,3.33,4.17,"D","2015/2016"
"2043","Mike Brown","RW","Free Agent",44,1,2,3,1200000,0.83,1.67,2.5,"D","2015/2016"
"2044","Jacob De La Rose","C","Montreal Canadiens",22,0,1,1,1166670,0,0.86,0.86,"D","2015/2016"
"2045","Riley Nash","C","Boston Bruins",64,9,13,22,1150000,7.83,11.3,19.13,"D","2015/2016"
"2046","Patrick Eaves","RW","Anaheim Ducks",54,11,6,17,1150000,9.57,5.22,14.78,"D","2015/2016"
"2047","Matthias Plachta","LW","Inactive",0,0,0,0,1142500,0,0,0,"D","2015/2016"
"2048","Joonas Donskoi","RW","San Jose Sharks",76,11,25,36,1137500,9.67,21.98,31.65,"C","2015/2016"
"2049","Ryan Reaves","RW","Vegas Golden Knights",65,3,1,4,1125000,2.67,0.89,3.56,"D","2015/2016"
"2050","Joe Vitale","C","Free Agent",1,0,0,0,1116670,0,0,0,"D","2015/2016"
"2051","Mark McNeill","C","Dallas Stars",1,0,0,0,1113330,0,0,0,"D","2015/2016"
"2052","Robby Fabbri","C","St Louis Blues",72,18,19,37,1106670,16.27,17.17,33.43,"C","2015/2016"
