"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"2935","Vince Hinostroza","RW","Chicago Blackhawks",49,6,8,14,925000,6.49,8.65,15.14,"D","2016/2017"
"2936","Austin Czarnik","C","Boston Bruins",49,5,8,13,925000,5.41,8.65,14.05,"D","2016/2017"
"2937","Marko Dano","C","Winnipeg Jets",38,4,7,11,925000,4.32,7.57,11.89,"D","2016/2017"
"2938","Nikita Soshnikov","LW","St Louis Blues",56,5,4,9,925000,5.41,4.32,9.73,"D","2016/2017"
"2939","Tyler Motte","C","Vancouver Canucks",33,4,3,7,925000,4.32,3.24,7.57,"D","2016/2017"
"2940","Phil Di Giuseppe","LW","Carolina Hurricanes",36,1,6,7,925000,1.08,6.49,7.57,"D","2016/2017"
"2941","Evan Rodrigues","LW","Buffalo Sabres",30,4,2,6,925000,4.32,2.16,6.49,"D","2016/2017"
"2942","Noel Acciari","RW","Boston Bruins",29,2,3,5,925000,2.16,3.24,5.41,"D","2016/2017"
"2943","Josh Archibald","RW","Arizona Coyotes",10,3,0,3,925000,3.24,0,3.24,"D","2016/2017"
"2944","Kyle Rau","RW","Minnesota Wild",24,2,1,3,925000,2.16,1.08,3.24,"D","2016/2017"
"2945","Anton Blidh","LW","Boston Bruins",19,1,1,2,925000,1.08,1.08,2.16,"D","2016/2017"
"2946","Markus Hannikainen","LW","Columbus Blue Jackets",10,1,1,2,925000,1.08,1.08,2.16,"D","2016/2017"
"2947","Pontus Aberg","LW","Edmonton Oilers",15,1,1,2,925000,1.08,1.08,2.16,"D","2016/2017"
"2948","Blake Coleman","LW","New Jersey Devils",23,1,1,2,925000,1.08,1.08,2.16,"D","2016/2017"
"2949","Matthew Peca","C","Tampa Bay Lightning",10,1,1,2,925000,1.08,1.08,2.16,"D","2016/2017"
"2950","Christoph Bertschy","C","New Jersey Devils",5,0,1,1,925000,0,1.08,1.08,"D","2016/2017"
"2951","Nick Sorensen","RW","Free Agent",5,0,1,1,925000,0,1.08,1.08,"D","2016/2017"
"2952","Dominik Simon","RW","Pittsburgh Penguins",2,0,1,1,925000,0,1.08,1.08,"D","2016/2017"
"2953","Travis Boyd","C","Washington Capitals",0,0,0,0,925000,0,0,0,"D","2016/2017"
"2954","C.J. Smith","LW","Buffalo Sabres",2,0,1,0,925000,0,1.08,0,"D","2016/2017"
"2955","Riley Barber","RW","Washington Capitals",3,0,0,0,925000,0,0,0,"D","2016/2017"
"2956","Michael Vecchione","C","Philadelphia Flyers",2,0,0,0,925000,0,0,0,"D","2016/2017"
"2957","Jonny Brodzinski","C","Los Angeles Kings",6,0,2,0,925000,0,2.16,0,"D","2016/2017"
"2958","Boo Nieves","C","New York Rangers",1,0,0,0,925000,0,0,0,"D","2016/2017"
"2959","Blake Speers","C","New Jersey Devils",3,0,0,0,925000,0,0,0,"D","2016/2017"
"2960","Sean Kuraly","C","Boston Bruins",8,0,0,0,925000,0,0,0,"D","2016/2017"
"2961","Jakob Forsbacka Karlsson","C","Boston Bruins",0,0,0,0,925000,0,0,0,"D","2016/2017"
"2962","Chandler Stephenson","C","Washington Capitals",4,0,0,0,925000,0,0,0,"D","2016/2017"
"2963","Oskar Sundqvist","C","St Louis Blues",10,0,0,0,925000,0,0,0,"D","2016/2017"
"2964","Kalle Kossila","C","Anaheim Ducks",1,0,0,0,925000,0,0,0,"D","2016/2017"
