"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1811","C","ROY","DEREK","21 DEREK ROY","DEREK ROY",1811,273,26,0,0,0,0,"B","C"
"1812","D","VOLCHENKOV","ANTON","20 ANTON VOLCHENKOV","ANTON VOLCHENKOV",1812,385,0,0,0,46,0,"B","D"
"1813","R","EAVES","PATRICK","18 PATRICK EAVES","PATRICK EAVES",1813,495,0,0,47,0,0,"D","C"
"1814","G","LINDBACK","ANDERS","29 ANDERS LINDBACK","ANDERS LINDBACK",1814,219,0,0,0,0,48,NA,NA
"1815","C","RICHARDS","BRAD","91 BRAD RICHARDS","BRAD RICHARDS",1815,351,76,0,0,0,0,"A","C"
"1816","C","SPEZZA","JASON","90 JASON SPEZZA","JASON SPEZZA",1816,197,82,0,0,0,0,"A","A"
"1817","D","VAN RIEMSDYK","TREVOR","57 TREVOR VAN RIEMSDYK","TREVOR VAN RIEMSDYK",1817,1359,0,0,0,18,0,NA,"D"
"1818","C","CARTER","RYAN","18 RYAN CARTER","RYAN CARTER",1818,412,53,0,0,0,0,"D","D"
"1819","R","EVERBERG","DENNIS","45 DENNIS EVERBERG","DENNIS EVERBERG",1819,1360,0,0,55,0,0,NA,"D"
"1820","D","STUART","BRAD","17 BRAD STUART","BRAD STUART",1820,198,0,0,0,65,0,"B","B"
"1821","D","DIAZ","RAPHAEL","33 RAPHAEL DIAZ","RAPHAEL DIAZ",1821,51,0,0,0,56,0,"C","D"
"1822","C","DRAISAITL","LEON","29 LEON DRAISAITL","LEON DRAISAITL",1822,1361,37,0,0,0,0,NA,"B"
"1823","D","FAYNE","MARK","5 MARK FAYNE","MARK FAYNE",1823,371,0,0,0,74,0,"D","B"
"1824","R","JONES","DAVID","19 DAVID JONES","DAVID JONES",1824,501,0,0,67,0,0,"B","B"
"1825","D","NIKITIN","NIKITA","86 NIKITA NIKITIN","NIKITA NIKITIN",1825,458,0,0,0,42,0,"C","B"
"1826","R","YAKUPOV","NAIL","10 NAIL YAKUPOV","NAIL YAKUPOV",1826,1035,0,0,81,0,0,"B","B"
"1827","R","CROMBEEN","B.J.","44 B.J. CROMBEEN","B.J. CROMBEEN",1827,872,0,0,58,0,0,"D","D"
"1828","D","ENSTROM","TOBIAS","39 TOBY ENSTROM","TOBIAS ENSTROM",1828,582,0,0,0,60,0,"A","B"
"1829","C","GAGNER","SAM","9 SAM GAGNER","SAM GAGNER",1829,704,81,0,0,0,0,"B","B"
"1830","L","LOWRY","ADAM","17 ADAM LOWRY","ADAM LOWRY",1830,1362,0,80,0,0,0,NA,"C"
"1831","C","MCMILLAN","BRANDON","22 BRANDON MCMILLAN","BRANDON MCMILLAN",1831,266,50,0,0,0,0,"D","D"
"1832","C","VITALE","JOE","14 JOE VITALE","JOE VITALE",1832,119,70,0,0,0,0,"D","D"
"1833","C","BROWN","PATRICK","36 PATRICK BROWN","PATRICK BROWN",1833,1363,7,0,0,0,0,NA,"D"
"1834","L","KULEMIN","NIKOLAY","86 NIKOLAY KULEMIN","NIKOLAY KULEMIN",1834,1364,0,82,0,0,0,"B","B"
"1835","D","LEDDY","NICK","2 NICK LEDDY","NICK LEDDY",1835,300,0,0,0,78,0,"C","C"
"1836","C","MALONE","BRAD","24 BRAD MALONE","BRAD MALONE",1836,836,65,0,0,0,0,"D","D"
"1837","C","MCCLEMENT","JAY","18 JAY MCCLEMENT","JAY MCCLEMENT",1837,504,82,0,0,0,0,"D","D"
"1838","C","RASK","VICTOR","49 VICTOR RASK","VICTOR RASK",1838,1365,80,0,0,0,0,NA,"C"
"1839","D","REINHART","GRIFFIN","8 GRIFFIN REINHART","GRIFFIN REINHART",1839,1366,0,0,0,8,0,NA,"B"
"1840","L","TERRY","CHRIS","25 CHRIS TERRY","CHRIS TERRY",1840,1102,0,57,0,0,0,"D","D"
"1841","R","PANIK","RICHARD","18 RICHARD PANIK","RICHARD PANIK",1841,1075,0,0,76,0,0,"D","D"
"1842","C","KARLSSON","WILLIAM","38 WILLIAM KARLSSON","WILLIAM KARLSSON",1842,1367,18,0,0,0,0,NA,"D"
